,precision,recall,f1-score,support
a,0.93,0.98,0.95,800.0
b,0.96,0.97,0.97,800.0
c,0.98,0.98,0.98,800.0
d,0.96,0.95,0.96,800.0
e,0.98,0.99,0.98,800.0
f,0.97,0.97,0.97,800.0
g,0.93,0.82,0.87,800.0
h,0.97,0.98,0.98,800.0
i,0.79,0.68,0.73,800.0
j,0.99,0.91,0.95,800.0
k,0.98,0.98,0.98,800.0
l,0.74,0.79,0.76,800.0
m,1.0,0.99,0.99,800.0
n,0.96,0.98,0.97,800.0
o,0.82,0.7,0.76,800.0
p,0.99,0.98,0.98,800.0
q,0.91,0.76,0.83,800.0
r,0.96,0.99,0.97,800.0
s,0.91,0.95,0.93,800.0
t,0.97,0.97,0.97,800.0
u,0.92,0.97,0.95,800.0
v,0.98,0.91,0.94,800.0
w,0.99,0.98,0.99,800.0
x,0.99,0.96,0.98,800.0
y,0.95,0.94,0.94,800.0
z,0.94,0.91,0.93,800.0
0,0.74,0.85,0.79,800.0
1,0.75,0.83,0.79,800.0
2,0.92,0.94,0.93,800.0
3,0.99,0.99,0.99,800.0
4,0.96,0.96,0.96,800.0
5,0.96,0.92,0.94,800.0
6,0.98,0.96,0.97,800.0
7,0.97,0.99,0.98,800.0
8,0.98,0.98,0.98,800.0
9,0.79,0.97,0.87,800.0
